id,term_en,term_zh,category,policy,forbidden_zh,forbidden_soft,notes,freq_in_corpus
1,Large Language Model (LLM),大语言模型（LLM）,core-llm,acronym,大型语言模型|大模型语言,,缩写 LLM 保留；首次出现给全称,59
2,Prompt,提示词,core-llm,translate,提示语|提示词条|promt,,"统一起见一律""提示词""，不用""提示语""",0
3,Prompt Engineering,提示词工程,core-llm,translate,提示工程|提示词工程学|指令工程,,课程 Week 1 主题,0
4,System Prompt,系统提示词,core-llm,translate,系统指令|系统 prompt,,0,
5,Context,上下文,core-llm,translate,语境|情境|脉络,,术语一致性的关键锚点,58
6,Context Window,上下文窗口,core-llm,translate,语境窗口|上下文视窗,上下文长度,0；「上下文长度」降为提示级：effective context length，与 context window 不同,
7,Context Engineering,上下文工程,core-llm,translate,情境工程|语境工程|上下文工程学,,挑战验收点名要求统一的术语,0
8,Context Rot,上下文腐化,core-llm,translate,上下文腐烂|上下文衰减|上下文退化,,Chroma 研究提出的术语,0
9,Vibe Coding,氛围编程,core-llm,keep_en_first,感觉编程|氛围编码|Vibe 编码|直觉编程,,"挑战验收点名要求统一的术语；建议首次写""氛围编程（Vibe Coding）""",0
10,Scaffolding,脚手架,core-llm,translate,支架|骨架代码,框架,挑战验收点名要求统一的术语；「框架」降为提示级：framework,0
11,Hallucination,幻觉,core-llm,translate,臆造|胡编|虚构输出,框架,0；「框架」降为提示级：framework,
12,Fine-tuning,微调,core-llm,translate,精调|微调训练,,0,
13,Few-shot,少样本,core-llm,translate,少量样本|少次示例|few shot,,0,
14,Zero-shot,零样本,core-llm,translate,无样本|零次示例,,0,
15,Chain of Thought,思维链,core-llm,translate,思考链|推理链|思维链条,,0,
16,Retrieval-Augmented Generation (RAG),检索增强生成（RAG）,core-llm,acronym,增强检索生成,落地,7；「落地」降为提示级：landing/implementation,
17,Token,Token,core-llm,keep_en,词元|令牌,标记,不译；中文写作中直接写 Token；「标记」降为提示级：mark/tag,0
18,Temperature,温度,core-llm,translate,温度值|随机度,,采样参数,0
19,Embedding,嵌入,core-llm,translate,向量化|嵌入向量,,0,
20,Vector Database,向量数据库,core-llm,translate,矢量数据库|向量库,,0,
21,Inference,推理,core-llm,translate,模型推导,推断|推演,模型前向计算/服务；与 Reasoning（推理能力）区分；「推断」降为提示级：infer；「推演」降为提示级：think through / 推演，不是 inference,0
22,Reasoning,推理能力,core-llm,translate,思考链|推论|思维过程,,模型内部思考过程；与 Inference（推理）区分,0
23,Training,训练,core-llm,translate,训练过程,培训,0；「培训」降为提示级：staff training,
24,Benchmark,基准测试,core-llm,translate,测评|跑分,,0,
25,Model Card,模型卡,core-llm,translate,模型卡片|模型说明卡,,0,
26,Evaluation,评估,core-llm,translate,评测|测试评估,评价,0,
27,Guardrails,护栏,agent,translate,防护栏|护栏机制|安全围栏,,0,
28,Agent,智能体,agent,translate,智能代理|AI 代理|代理人|Agent 体,代理,AI 语境一律「智能体」。短语形式（智能代理/AI 代理/代理人）是无歧义错译，硬性禁用；单独的「代理」降为提示级——因为 proxy 的标准译法就是「代理」，如「本地代理」,45
29,Agentic,智能体化的,agent,translate,代理式|自治式|Agent 化,,形容词；Agentic AI → 智能体 AI,31
30,Sub-agent,子智能体,agent,translate,子代理|次级智能体,,0,
31,Multi-agent,多智能体,agent,translate,多代理|多 Agent|多智能系统,,0,
32,Coding Agent,编码智能体,agent,translate,编程代理|代码智能体|编码代理,,课程核心概念,0
33,Tool Use,工具调用,agent,translate,工具运用,工具使用|调用工具,0；「工具使用」降为提示级：tool use（字面）；「调用工具」降为提示级：invoke tools（动词短语）,
34,Function Calling,函数调用,agent,translate,功能调用|函数呼叫,,0,
35,Model Context Protocol (MCP),模型上下文协议（MCP）,agent,acronym,模型情境协议|MCP 协议,组织|协调,全课程最高频术语（325 次）；「组织」降为提示级：organization；「协调」降为提示级：coordinate,325
36,MCP Server,MCP 服务器,agent,keep_en_first,模型上下文协议服务器|MCP 服务端,,MCP 保留英文,0
37,Orchestration,编排,agent,translate,编排调度,组织|协调,0；「组织」降为提示级：organization；「协调」降为提示级：coordinate,
38,Workflow,工作流,agent,translate,工作流程|作业流,流程,0,
39,Human-in-the-loop,人在回路,agent,translate,人在环中|人工介入|人类在环,,0,
40,Autonomy,自主性,agent,translate,自治性|自动化程度,,0,
41,Agent Loop,智能体循环,agent,translate,代理循环|智能体回路,,0,
42,Codebase,代码库,swe,translate,代码基底|代码基础|代码仓,,0,
43,Repository,仓库,swe,translate,版本库|存储库|代码仓库,,0,
44,Commit,提交,swe,translate,递交|确认提交,,动词名词同形,0
45,Branch,分支,swe,translate,枝干|代码分支,,0,
46,Pull Request (PR),拉取请求（PR）,swe,acronym,合并请求|拉取申请|PR 请求,,缩写 PR 可直接用,12
47,Merge,合并,swe,translate,归并|融合,,0,
48,Code Review,代码评审,swe,translate,代码审查|代码复查|代码审核,,"统一起见一律""代码评审""",0
49,Refactor,重构,swe,translate,重新构建|翻新,重写,0,
50,Technical Debt,技术债,swe,translate,技术债务|技术欠账,,0,
51,Legacy Code,遗留代码,swe,translate,历史代码|旧代码|遗产代码,,0,
52,Boilerplate,样板代码,swe,translate,模板代码|重复代码|锅炉板,,0,
53,Linter,代码检查工具,swe,translate,检查器|语法检查器|Lint 器,,0,
54,Continuous Integration (CI),持续集成（CI）,swe,acronym,连续集成|持续整合,,25,
