candidate,count,type
MCP,325,acronym
SAST,72,acronym
SRE,69,acronym
OWASP,64,acronym
LLM,59,acronym
API,57,acronym
DAST,56,acronym
GPT,33,acronym
PG,30,acronym
SQL,26,acronym
CI,25,acronym
RASP,24,acronym
JSON,21,acronym
DELEGATE,20,acronym
PY,20,acronym
APP,20,acronym
CLI,19,acronym
NIAH,19,acronym
VS,17,acronym
SUMMARY,16,acronym
CD,15,acronym
THIS,14,acronym
TASK,14,acronym
SDK,13,acronym
IDOR,13,acronym
PR,12,acronym
TPR,11,acronym
XSS,11,acronym
BOLA,8,acronym
NOT,8,acronym
DO,8,acronym
CWE,8,acronym
RAG,7,acronym
PM,7,acronym
SDLC,7,acronym
CSV,6,acronym
FPR,6,acronym
ML,5,acronym
RPC,5,acronym
IDE,5,acronym
RCE,5,acronym
SSRF,5,acronym
VM,5,acronym
CPU,5,acronym
YOLO,5,acronym
SARIF,5,acronym
MTTR,5,acronym
SCA,4,acronym
AIRS,4,acronym
GCP,4,acronym
OR,4,acronym
CVE,4,acronym
CEO,4,acronym
AAPL,3,acronym
KV,3,acronym
ROI,3,acronym
CLAUDE,3,acronym
SASE,3,acronym
L6,3,acronym
PPTX,3,acronym
MSCI,3,acronym
Claude,143,capitalized_phrase
Prompt,94,capitalized_phrase
Claude Code,62,capitalized_phrase
Example,60,capitalized_phrase
Context,58,capitalized_phrase
Google,55,capitalized_phrase
Security,46,capitalized_phrase
OWASP Top,46,capitalized_phrase
Agents,45,capitalized_phrase
Resolve,38,capitalized_phrase
Francisco,36,capitalized_phrase
San Francisco,32,capitalized_phrase
Engineering,31,capitalized_phrase
Agentic,31,capitalized_phrase
Research,30,capitalized_phrase
Gemini,30,capitalized_phrase
Python,30,capitalized_phrase
Instead,30,capitalized_phrase
Please,30,capitalized_phrase
Distractors,28,capitalized_phrase
Resolve AI,28,capitalized_phrase
Repeated,26,capitalized_phrase
However,25,capitalized_phrase
CrewAI,25,capitalized_phrase
Repeated Words,25,capitalized_phrase
Product,24,capitalized_phrase
Attack,23,capitalized_phrase
OpenAI,22,capitalized_phrase
Create,22,capitalized_phrase
Registry,22,capitalized_phrase
Terminal,22,capitalized_phrase
Copilot,22,capitalized_phrase
Threat,22,capitalized_phrase
AutoGen,21,capitalized_phrase
Figure,21,capitalized_phrase
Attacker,21,capitalized_phrase
Semgrep,21,capitalized_phrase
Management,20,capitalized_phrase
Performance,20,capitalized_phrase
DELEGATE,20,capitalized_phrase
Anthropic,19,capitalized_phrase
Kubernetes,19,capitalized_phrase
Prompting,18,capitalized_phrase
Related,18,capitalized_phrase
Payload,18,capitalized_phrase
Agentic AI,18,capitalized_phrase
Attack Payload,18,capitalized_phrase
Engineer,17,capitalized_phrase
Service,17,capitalized_phrase
Access,17,capitalized_phrase
Review,17,capitalized_phrase
Impact,17,capitalized_phrase
Assistant,16,capitalized_phrase
Application,16,capitalized_phrase
SUMMARY,16,capitalized_phrase
Family,16,capitalized_phrase
AI SRE,16,capitalized_phrase
Coding,15,capitalized_phrase
Protocol,15,capitalized_phrase
Desktop,15,capitalized_phrase
Together,15,capitalized_phrase
Common,15,capitalized_phrase
GPT-4.1,15,capitalized_phrase
Software,15,capitalized_phrase
LongMemEval,15,capitalized_phrase
Graphite,15,capitalized_phrase
VS Code,15,capitalized_phrase
Questions,14,capitalized_phrase
Privacy,14,capitalized_phrase
Needle,14,capitalized_phrase
Production,14,capitalized_phrase
Introduction,13,capitalized_phrase
Models,13,capitalized_phrase
Advanced,13,capitalized_phrase
Scenario,13,capitalized_phrase
Developers,13,capitalized_phrase
Cloudflare,13,capitalized_phrase
Getting,13,capitalized_phrase
Sonnet,13,capitalized_phrase
Testing,13,capitalized_phrase
Similarity,13,capitalized_phrase
Injection,12,capitalized_phrase
ChatGPT,12,capitalized_phrase
Provide,12,capitalized_phrase
Tactic,12,capitalized_phrase
AI-powered,12,capitalized_phrase
Server,12,capitalized_phrase
Secure,12,capitalized_phrase
Stytch,12,capitalized_phrase
Subscribe,12,capitalized_phrase
Beyond,12,capitalized_phrase
Haystack,12,capitalized_phrase
Results,12,capitalized_phrase
Golden,12,capitalized_phrase
DevOps,12,capitalized_phrase
OpenTelemetry,12,capitalized_phrase
Traces,12,capitalized_phrase
Model Context,12,capitalized_phrase
Design,11,capitalized_phrase
Instructions,11,capitalized_phrase
Action,11,capitalized_phrase
Contact,11,capitalized_phrase
Putting,11,capitalized_phrase
Conclusion,11,capitalized_phrase
Search,11,capitalized_phrase
Protection,11,capitalized_phrase
Portfolio,11,capitalized_phrase
Code Review,11,capitalized_phrase
Portfolio Management,11,capitalized_phrase
Portfolio Management Agent,11,capitalized_phrase
Question,10,capitalized_phrase
Experiment,10,capitalized_phrase
Because,10,capitalized_phrase
Building,10,capitalized_phrase
Remote,10,capitalized_phrase
Without,10,capitalized_phrase
Troubleshooting,10,capitalized_phrase
Observability,10,capitalized_phrase
Prisma,10,capitalized_phrase
Response,10,capitalized_phrase
Networks,10,capitalized_phrase
Mitigations,10,capitalized_phrase
AI-native,10,capitalized_phrase
Google Cloud,10,capitalized_phrase
Tactic Prompt,10,capitalized_phrase
MCP Registry,10,capitalized_phrase
Tactic Prompt Example,10,capitalized_phrase
Model Context Protocol,10,capitalized_phrase
Palo Alto Networks,10,capitalized_phrase
San Francisco San Francisco,10,capitalized_phrase
Language,9,capitalized_phrase
Explain,9,capitalized_phrase
Translation,9,capitalized_phrase
JavaScript,9,capitalized_phrase
Documentation,9,capitalized_phrase
Windows,9,capitalized_phrase
Mitigation,9,capitalized_phrase
Analysis,9,capitalized_phrase
Attackers,9,capitalized_phrase
Objective,9,capitalized_phrase
Explanation,9,capitalized_phrase
Setting,9,capitalized_phrase
Victim,9,capitalized_phrase
Relevant,9,capitalized_phrase
Framework,9,capitalized_phrase
Across,9,capitalized_phrase
Needle-Question,9,capitalized_phrase
Tracing,9,capitalized_phrase
Palo Alto,9,capitalized_phrase
All Together,9,capitalized_phrase
Scene Attacker,9,capitalized_phrase
Victim Assistant,9,capitalized_phrase
Framework CrewAI,9,capitalized_phrase
Attack Payload Explanation,9,capitalized_phrase
Attack Payload Framework,9,capitalized_phrase
Attack Payload Framework CrewAI,9,capitalized_phrase
Prompts,8,capitalized_phrase
Benefits,8,capitalized_phrase
Integration,8,capitalized_phrase
Resources,8,capitalized_phrase
Request,8,capitalized_phrase
Whether,8,capitalized_phrase
LangChain,8,capitalized_phrase
Inspector,8,capitalized_phrase
TypeScript,8,capitalized_phrase
Developer,8,capitalized_phrase
Linear,8,capitalized_phrase
Engineers,8,capitalized_phrase
French,8,capitalized_phrase
Threats,8,capitalized_phrase
Transfer,8,capitalized_phrase
Graham,8,capitalized_phrase
Scenario Instructions,8,capitalized_phrase
Example Prompt,8,capitalized_phrase
Claude Sonnet,8,capitalized_phrase
Threat Research,8,capitalized_phrase
AutoGen Attacker,8,capitalized_phrase
Mitigations Prompt,8,capitalized_phrase
Paul Graham,8,capitalized_phrase
Claude Opus,8,capitalized_phrase
Scene Attacker End,8,capitalized_phrase
CrewAI AutoGen Attacker,8,capitalized_phrase
Settings,7,capitalized_phrase
Knowledge,7,capitalized_phrase
Understanding,7,capitalized_phrase
Spanish,7,capitalized_phrase
Define,7,capitalized_phrase
Output,7,capitalized_phrase
Custom,7,capitalized_phrase
Authorization,7,capitalized_phrase
Explore,7,capitalized_phrase
Community,7,capitalized_phrase
Thanks,7,capitalized_phrase
Microsoft,7,capitalized_phrase
Automate,7,capitalized_phrase
Translations,7,capitalized_phrase
Martinez,7,capitalized_phrase
Project,7,capitalized_phrase
Quickstart,7,capitalized_phrase
Download,7,capitalized_phrase
Incident,7,capitalized_phrase
Database,7,capitalized_phrase
Malicious,7,capitalized_phrase
Content,7,capitalized_phrase
Vulnerability,7,capitalized_phrase
Number,7,capitalized_phrase
Appendix,7,capitalized_phrase
Chinese,7,capitalized_phrase
German,7,capitalized_phrase
Hebrew,7,capitalized_phrase
FinServ,7,capitalized_phrase
Monitoring,7,capitalized_phrase
Reliability,7,capitalized_phrase
Golden Gate,7,capitalized_phrase
Graphite Agent,7,capitalized_phrase
San Francisco San,7,capitalized_phrase
Francisco San Francisco,7,capitalized_phrase
Examples,6,capitalized_phrase
Generation,6,capitalized_phrase
Reasoning,6,capitalized_phrase
Sentiment,6,capitalized_phrase
Answering,6,capitalized_phrase
Science,6,capitalized_phrase
Vertex,6,capitalized_phrase
Additionally,6,capitalized_phrase
Specify,6,capitalized_phrase
Images,6,capitalized_phrase
Consider,6,capitalized_phrase
Identify,6,capitalized_phrase
Platform,6,capitalized_phrase
Cursor,6,capitalized_phrase
Unlike,6,capitalized_phrase
Connect,6,capitalized_phrase
Dynamic,6,capitalized_phrase
Customer,6,capitalized_phrase
Policy,6,capitalized_phrase
Practical,6,capitalized_phrase
Confusion,6,capitalized_phrase
Computer,6,capitalized_phrase
JetBrains,6,capitalized_phrase
Command,6,capitalized_phrase
Malware,6,capitalized_phrase
Repository,6,capitalized_phrase
Structure,6,capitalized_phrase
Configure,6,capitalized_phrase
Technology,6,capitalized_phrase
Bharat,6,capitalized_phrase
AI Agents,6,capitalized_phrase
Claude Desktop,6,capitalized_phrase
MCP Inspector,6,capitalized_phrase
OAuth App,6,capitalized_phrase
Context Confusion,6,capitalized_phrase
Ravi Mehta,6,capitalized_phrase
Security Testing,6,capitalized_phrase
Needle-Question Similarity,6,capitalized_phrase
OpenAI Codex,6,capitalized_phrase
AI Coding,6,capitalized_phrase
Threat Research March,6,capitalized_phrase
AI Coding Agents,6,capitalized_phrase
Techniques,5,capitalized_phrase
Zero-shot,5,capitalized_phrase
Generate,5,capitalized_phrase
Automatic,5,capitalized_phrase
Dataset,5,capitalized_phrase
Adding,5,capitalized_phrase
Domain,5,capitalized_phrase
Services,5,capitalized_phrase
Updated,5,capitalized_phrase
Writing,5,capitalized_phrase
Multiple,5,capitalized_phrase
Optimize,5,capitalized_phrase
Debugging,5,capitalized_phrase
Reference,5,capitalized_phrase
Choose,5,capitalized_phrase
Effective,5,capitalized_phrase
Imagine,5,capitalized_phrase
December,5,capitalized_phrase
JSON-RPC,5,capitalized_phrase
Autonomous,5,capitalized_phrase
Authentication,5,capitalized_phrase
Discover,5,capitalized_phrase
Return,5,capitalized_phrase
Single,5,capitalized_phrase
Company,5,capitalized_phrase
Approach,5,capitalized_phrase
Implement,5,capitalized_phrase
Nothing,5,capitalized_phrase
Execution,5,capitalized_phrase
Running,5,capitalized_phrase
Traditional,5,capitalized_phrase
Overview,5,capitalized_phrase
Install,5,capitalized_phrase
Actions,5,capitalized_phrase
Modern,5,capitalized_phrase
Products,5,capitalized_phrase
Runtime,5,capitalized_phrase
Metadata-Flavor,5,capitalized_phrase
Enterprise,5,capitalized_phrase
Cortex,5,capitalized_phrase
NoLiMa,5,capitalized_phrase
Needle-Haystack,5,capitalized_phrase
Failure,5,capitalized_phrase
Accuracy,5,capitalized_phrase
Position,5,capitalized_phrase
